active_employee,active_self_employed,active_unemployed,Inactive
0.08942,0.090468,0.029045,0.30359
0.094223,0.117432,0.02283,0.316095
0.109015,0.091921,0.023706,0.326399
0.092552,0.095695,0.024827,0.261471
0.092583,0.089303,0.029944,0.272246
0.095632,0.102452,0.022058,0.290814
0.096375,0.085204,0.023656,0.239733
0.100171,0.087535,0.024878,0.318678
0.118416,0.113373,0.037262,0.252521
0.105164,0.124074,0.032069,0.285414
0.106611,0.092604,0.041306,0.298421
0.107655,0.105491,0.042602,0.272518
0.100523,0.116502,0.041836,0.300407
0.101468,0.127035,0.038065,0.301078
0.094653,0.136214,0.040801,0.290547
0.10981,0.078006,0.038681,0.285484
0.107271,0.089199,0.043437,0.286832
0.103937,0.091651,0.043315,0.299794
0.100441,0.123769,0.036547,0.277735
0.107198,0.112451,0.039035,0.297242
0.078704,0.116358,0.024846,0.290432
0.110016,0.101359,0.037754,0.298425
0.096945,0.087471,0.061173,0.351519
0.099362,0.095689,0.042818,0.32457
0.114745,0.070086,0.040422,0.338694
0.091545,0.098946,0.042883,0.290856
0.081646,0.12236,0.035598,0.245591
0.093927,0.110016,0.04218,0.261487
0.093313,0.124468,0.033435,0.247416
0.110117,0.057448,0.049212,0.359736
0.101549,0.107397,0.049945,0.255413
0.099251,0.120985,0.04197,0.247966
0.110852,0.052251,0.04904,0.339342
0.08864,0.127369,0.041201,0.268393
0.091727,0.099564,0.04898,0.267165
0.103943,0.070846,0.048501,0.322276
0.096307,0.12158,0.03656,0.237394
0.087549,0.11792,0.039883,0.276157
0.077253,0.117654,0.032689,0.232248
0.0916,0.092641,0.044759,0.237327
0.070082,0.123759,0.030796,0.2432
0.088823,0.115201,0.029061,0.271386
0.111261,0.073317,0.040024,0.34798
0.08787,0.109467,0.035059,0.225
0.12,0.076811,0.039867,0.310831
0.122189,0.067989,0.040305,0.344294
0.116702,0.078396,0.043581,0.277147
0.106568,0.089077,0.029306,0.292135
0.111906,0.087245,0.037302,0.287949
0.122351,0.059669,0.045203,0.325163
0.122511,0.079175,0.043453,0.308737
0.102162,0.096785,0.028944,0.278
0.108417,0.090498,0.022888,0.299955
0.094728,0.099448,0.02279,0.308932
0.09327,0.136642,0.020938,0.331883
0.122459,0.075383,0.039647,0.319753
0.105683,0.100074,0.027011,0.307897
0.121783,0.063136,0.044434,0.302364
0.103828,0.094085,0.038382,0.299478
0.112139,0.090789,0.032534,0.2866
0.093481,0.118493,0.022823,0.337346
0.125174,0.074976,0.04144,0.334188
0.097409,0.111457,0.027979,0.308002
0.105355,0.11937,0.035763,0.301276
0.108985,0.109835,0.026369,0.316321
0.093663,0.126378,0.023507,0.281231
0.136359,0.078762,0.04075,0.322312
0.122218,0.094544,0.035242,0.318988
0.133001,0.071443,0.041593,0.328146
0.107291,0.112713,0.032995,0.309529
0.121878,0.087227,0.041702,0.347712
0.097873,0.129337,0.027235,0.305932
0.104878,0.137884,0.035147,0.260899
0.123837,0.062959,0.048505,0.340085
0.119561,0.105815,0.034711,0.297073
0.106772,0.123558,0.038255,0.26927
0.133107,0.082238,0.043239,0.301908
0.11898,0.113386,0.053849,0.304513
0.104919,0.140658,0.040163,0.261943
0.11529,0.078298,0.053946,0.263101
0.10492,0.083723,0.056288,0.269602
0.111944,0.076284,0.040725,0.274339
0.113492,0.071032,0.05119,0.282143
0.118572,0.076005,0.044465,0.294261
0.112555,0.090044,0.048695,0.25365
0.10459,0.086827,0.047037,0.265028
0.112665,0.075369,0.057369,0.269101
0.114774,0.083904,0.052022,0.245801
0.106421,0.082136,0.044374,0.289002
0.09555,0.121329,0.034629,0.213415
0.096891,0.071989,0.058104,0.257471
0.077892,0.105853,0.02919,0.257643
0.101657,0.096448,0.036148,0.289818
0.099417,0.080602,0.042365,0.275916
0.10004,0.1038,0.033033,0.266416
0.072905,0.111681,0.029643,0.259894
0.096988,0.094729,0.038253,0.283886
0.097185,0.087451,0.02965,0.267895
0.099386,0.092068,0.039542,0.29025
0.097441,0.101892,0.02893,0.306311
0.094205,0.095807,0.031159,0.29834
0.105566,0.081551,0.037148,0.289931
0.104285,0.087114,0.045211,0.303245
0.095427,0.091877,0.038341,0.301619
0.09549,0.097356,0.030482,0.291757
0.204196,0.072823,0.025128,0.236399
0.101533,0.069604,0.051086,0.265432
0.180123,0.071779,0.031902,0.247853
0.181785,0.05751,0.038751,0.260521
0.130346,0.117848,0.039836,0.220172
0.090547,0.105297,0.039083,0.2177
0.102503,0.126352,0.033328,0.239224
0.087186,0.148744,0.038377,0.215068
0.113691,0.111817,0.045601,0.273399
0.093029,0.145403,0.045172,0.234037
0.083854,0.158044,0.030841,0.199687
0.118171,0.073766,0.051271,0.313906
0.10055,0.129317,0.047885,0.229417
0.095714,0.12304,0.04166,0.257877
0.109143,0.092732,0.050013,0.273856
0.10427,0.136048,0.045308,0.209037
0.097831,0.110042,0.056026,0.270938
